person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,severity_cons,dur_cons,util_cons,prin_up,prin_vi,moral_int,ESA,CST,loan_status
26,85000,RENT,2,VENTURE,A,28000,7.49,0.33,N,3,0.108705882,0.0325,0.64,0.5,0.142857143,0.8,0.300892997,0.195668678,1
26,12000,OWN,2,EDUCATION,A,6100,7.51,0.51,N,3,0.25925,0.0325,0.156857143,1,0.142857143,0.9,-0.2602,0.226478621,1
22,88000,RENT,6,VENTURE,B,28000,9.91,0.32,N,3,0.101818182,0.0725,0.64,0.5,0.285714286,0.8,0.298294372,0.188673207,1
21,12000,OWN,0,PERSONAL,C,4200,13.48,0.35,Y,4,0.1225,0.012,0.072,0.5,0.928571429,0.6,-0.068780952,0.208994458,1
22,12000,OWN,6,DEBTCONSOLIDATION,A,4750,7.14,0.4,N,2,0.158333333,0.073333333,0.054285714,1,0.142857143,0.4,-0.176825397,0.208695948,1
24,83004,RENT,0,VENTURE,D,28000,15.99,0.34,Y,4,0.114693268,0.012,0.64,0,1,0.8,0.188451538,0.231789343,1
24,250000,RENT,2,EDUCATION,C,18000,12.98,0.07,Y,3,0.00504,0.0325,0.462857143,0,0.928571429,0.9,-0.131153524,0.233055835,0
99,250000,RENT,4,VENTURE,C,4800,13.57,0.02,N,3,0.000384,0.0525,0.109714286,0.5,0.428571429,0.8,-0.113073829,0.194142652,0
25,100000,RENT,5,DEBTCONSOLIDATION,B,28000,12.69,0.28,N,3,0.0784,0.0625,0.32,0.5,0.285714286,0.4,-0.172049524,0.152340448,0
26,110000,RENT,10,EDUCATION,A,28000,8.9,0.25,N,2,0.063636364,0.113333333,0.72,0.5,0.142857143,0.9,0.339763348,0.205945148,0
26,12000,OWN,0,DEBTCONSOLIDATION,A,2700,12,0.23,N,4,0.05175,0.012,0.030857143,1,0.142857143,0.4,-0.1258,0.215201628,1
22,108000,RENT,6,EDUCATION,B,28000,12,0.26,N,4,0.067407407,0.072,0.72,0.5,0.285714286,0.9,0.318318166,0.203066746,1
23,151200,RENT,7,DEBTCONSOLIDATION,B,28000,11.11,0.19,N,2,0.035185185,0.083333333,0.32,0.5,0.285714286,0.4,-0.166081129,0.154087661,0
24,69000,RENT,2,HOMEIMPROVEMENT,A,27600,12,0.4,N,2,0.16,0.033333333,0.394285714,0.5,0.142857143,0.5,-0.225269841,0.160521116,1
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,0.27,Y,3,0.073125,0.0625,0.037142857,0.5,1,0.4,-0.038071429,0.212615701,1
22,70000,RENT,4,EDUCATION,C,27500,13.06,0.39,Y,3,0.153214286,0.0525,0.707142857,0,0.928571429,0.9,0.241142857,0.230488277,1
22,240000,OWN,6,PERSONAL,B,25000,12,0.1,N,2,0.010416667,0.073333333,0.428571429,0.5,0.285714286,0.6,-0.201761905,0.17103974,0
26,73200,RENT,5,VENTURE,D,27050,15.62,0.37,Y,2,0.136728142,0.063333333,0.618285714,0,1,0.8,0.202225917,0.227445936,1
24,83000,RENT,5,PERSONAL,C,27000,13.49,0.33,Y,2,0.107349398,0.063333333,0.462857143,0,0.928571429,0.6,-0.142658252,0.210055094,1
24,73399,RENT,0,VENTURE,D,27000,12,0.37,N,3,0.136105397,0.0125,0.617142857,0.5,0.571428571,0.8,0.262485249,0.190693321,1
23,62500,RENT,7,MEDICAL,B,26000,11.71,0.42,N,2,0.17472,0.083333333,0.742857143,0.5,0.285714286,1,0.364052317,0.20621254,1
23,120000,RENT,1,EDUCATION,B,25600,12.69,0.21,N,3,0.0448,0.0225,0.658285714,0.5,0.285714286,0.9,0.282632381,0.204650109,0
24,12360,OWN,2,MEDICAL,C,1600,13.57,0.13,N,3,0.016828479,0.0325,0.045714286,1,0.428571429,1,-0.151059023,0.242344522,0
22,60000,RENT,0,VENTURE,B,25475,10.99,0.42,N,3,0.178325,0.0125,0.582285714,0.5,0.285714286,0.8,0.287305714,0.186460687,1
25,234000,MORTGAGE,3,MEDICAL,C,20000,14.27,0.09,Y,4,0.007692308,0.042,0.571428571,0,0.928571429,1,0.17134652,0.24116651,0
24,234000,OWN,8,HOMEIMPROVEMENT,B,20000,8.88,0.09,N,4,0.007692308,0.092,0.285714286,0.5,0.285714286,0.5,-0.159917949,0.16094471,0
26,234000,MORTGAGE,10,HOMEIMPROVEMENT,B,21600,12.18,0.09,N,3,0.008307692,0.1125,0.308571429,0.5,0.285714286,0.5,-0.171643956,0.159897415,0
25,221004,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,14.42,0.05,Y,3,0.002692259,0.0725,0.136,0,1,0.4,-0.008317936,0.216274888,1
26,232500,MORTGAGE,0,MEDICAL,C,25000,14.17,0.11,Y,2,0.011827957,0.013333333,0.714285714,0,0.928571429,1,0.202900154,0.246132928,0
25,230000,MORTGAGE,5,MEDICAL,C,35000,13.99,0.15,N,4,0.022826087,0.062,1,0.5,0.428571429,1,0.375001242,0.229007749,0
23,83000,RENT,7,EDUCATION,B,25300,10.99,0.3,N,3,0.091445783,0.0825,0.650571429,0.5,0.285714286,0.9,0.309014114,0.197657632,1
22,12600,MORTGAGE,-1,PERSONAL,A,2000,5.42,0.16,N,4,0.025396825,0.012,0.034285714,1,0.142857143,0.6,-0.135686772,0.222495083,1
25,12600,OWN,3,PERSONAL,C,1750,13.61,0.14,N,3,0.019444444,0.0425,0.03,1,0.428571429,0.6,-0.118232804,0.219799323,0
21,42500,RENT,3,EDUCATION,C,25000,12.73,0.59,Y,3,0.347058824,0.0425,0.642857143,0,0.928571429,0.9,0.27302521,0.223223563,1
24,41000,RENT,2,HOMEIMPROVEMENT,D,25000,12,0.61,N,3,0.37195122,0.0325,0.357142857,0.5,0.571428571,0.5,-0.237377468,0.157911628,1
25,12816,OWN,0,DEBTCONSOLIDATION,C,3000,12.87,0.23,Y,4,0.053838951,0.012,0.034285714,0.5,0.928571429,0.4,-0.024414197,0.208704778,1
24,12960,MORTGAGE,1,HOMEIMPROVEMENT,B,3650,9.91,0.28,N,3,0.078858025,0.0225,0.052142857,1,0.285714286,0.5,-0.138076426,0.213391835,1
26,226000,MORTGAGE,4,HOMEIMPROVEMENT,B,20000,11.49,0.09,N,4,0.007964602,0.052,0.285714286,0.5,0.285714286,0.5,-0.149323894,0.163279209,0
25,225000,MORTGAGE,0,HOMEIMPROVEMENT,E,30000,19.91,0.13,Y,2,0.017333333,0.013333333,0.428571429,0,1,0.5,-0.082463492,0.219577961,0
26,213000,MORTGAGE,6,EDUCATION,B,35000,10.65,0.16,N,2,0.02629108,0.073333333,0.9,0.5,0.285714286,0.9,0.355709367,0.216642608,1
24,225000,RENT,0,MEDICAL,B,6000,12,0.03,N,4,0.0008,0.012,0.171428571,0.5,0.285714286,1,-0.146270476,0.213397294,0
24,12960,MORTGAGE,0,DEBTCONSOLIDATION,B,4500,11.83,0.35,N,4,0.121527778,0.012,0.051428571,1,0.285714286,0.4,-0.13846455,0.21030505,1
23,12996,OWN,0,DEBTCONSOLIDATION,C,2400,13.49,0.18,Y,2,0.033240997,0.013333333,0.027428571,0.5,0.928571429,0.4,-0.017448393,0.209898463,1
22,42000,RENT,6,MEDICAL,D,25000,14.59,0.6,Y,2,0.357142857,0.073333333,0.714285714,0,1,1,0.305269841,0.233820064,1
26,48000,RENT,2,EDUCATION,B,25000,9.64,0.52,N,4,0.270833333,0.032,0.642857143,0.5,0.285714286,0.9,0.341326984,0.192488025,1
25,12996,OWN,1,MEDICAL,D,3600,14.59,0.28,N,3,0.077562327,0.0225,0.102857143,1,0.571428571,1,-0.168397573,0.238182349,1
22,12996,OWN,1,EDUCATION,B,4750,12,0.37,N,3,0.135233918,0.0225,0.122142857,1,0.285714286,0.9,-0.203776664,0.228135905,1
25,42360,RENT,1,EDUCATION,E,25000,16.35,0.59,Y,3,0.348205855,0.0225,0.642857143,0,1,0.9,0.262283466,0.229397804,1
21,49000,RENT,4,EDUCATION,B,25000,10.99,0.51,N,2,0.260204082,0.053333333,0.642857143,0.5,0.285714286,0.9,0.344181406,0.19119132,1
25,225000,MORTGAGE,0,VENTURE,F,25000,18.67,0.11,N,2,0.012222222,0.013333333,0.571428571,0.5,0.857142857,0.8,0.194624339,0.211230766,0
26,225000,RENT,1,EDUCATION,A,3000,9.32,0.01,N,4,0.000133333,0.022,0.077142857,0.5,0.142857143,0.9,-0.127045079,0.207113827,0
23,225000,RENT,8,DEBTCONSOLIDATION,A,7500,8.63,0.03,N,2,0.001,0.093333333,0.085714286,0.5,0.142857143,0.4,-0.108584127,0.159581219,0
26,225000,MORTGAGE,2,VENTURE,B,25000,10.08,0.11,N,2,0.012222222,0.033333333,0.571428571,0.5,0.285714286,0.8,0.245671958,0.193989291,0
22,49464,RENT,5,PERSONAL,B,25000,11.83,0.51,N,3,0.257763222,0.0625,0.428571429,0.5,0.285714286,0.6,-0.264832097,0.15790405,1
23,50000,RENT,1,DEBTCONSOLIDATION,A,25000,7.9,0.5,N,3,0.25,0.0225,0.285714286,0.5,0.142857143,0.4,-0.209428571,0.151580597,1
25,50000,RENT,4,HOMEIMPROVEMENT,A,25000,5.99,0.5,N,2,0.25,0.053333333,0.357142857,0.5,0.142857143,0.5,-0.244698413,0.155528659,1
24,44000,RENT,2,DEBTCONSOLIDATION,D,25000,15.33,0.57,N,2,0.323863636,0.033333333,0.285714286,0.5,0.571428571,0.4,-0.197728716,0.156776913,1
23,50000,RENT,1,VENTURE,B,25000,11.83,0.5,N,4,0.25,0.022,0.571428571,0.5,0.285714286,0.8,0.306057143,0.182452688,1
22,50004,RENT,0,VENTURE,B,25000,10.36,0.5,N,2,0.249980002,0.013333333,0.571428571,0.5,0.285714286,0.8,0.303740699,0.183181334,1
22,50004,RENT,3,VENTURE,C,25000,12.23,0.5,N,3,0.249980002,0.0425,0.571428571,0.5,0.428571429,0.8,0.300089905,0.17872832,1
22,52000,RENT,2,EDUCATION,B,25000,11.11,0.48,N,4,0.230769231,0.032,0.642857143,0.5,0.285714286,0.9,0.330643223,0.193915046,1
23,13200,OWN,3,DEBTCONSOLIDATION,A,4950,7.9,0.38,N,4,0.1425,0.042,0.056571429,1,0.142857143,0.4,-0.164857143,0.210249779,1
24,220000,MORTGAGE,1,EDUCATION,B,25000,11.58,0.11,N,2,0.0125,0.023333333,0.642857143,0.5,0.285714286,0.9,0.270126984,0.205969553,0
23,216000,MORTGAGE,5,DEBTCONSOLIDATION,A,21000,8.9,0.1,N,3,0.009722222,0.0625,0.24,0.5,0.142857143,0.4,-0.143830688,0.15785707,0
25,216000,MORTGAGE,2,EDUCATION,D,25000,16.07,0.12,N,3,0.013888889,0.0325,0.642857143,0.5,0.571428571,0.9,0.250084656,0.205741398,0
26,216000,MORTGAGE,10,EDUCATION,C,20000,14.22,0.09,Y,2,0.008333333,0.113333333,0.514285714,0,0.928571429,0.9,0.167301587,0.229892423,0
23,215000,MORTGAGE,7,MEDICAL,C,35000,14.79,0.16,Y,3,0.026046512,0.0825,1,0,0.928571429,1,0.301326689,0.254864057,0
26,215000,MORTGAGE,11,EDUCATION,A,12000,7.88,0.06,N,2,0.003348837,0.123333333,0.308571429,0.5,0.142857143,0.9,-0.216639055,0.198470688,0
23,52000,RENT,1,PERSONAL,C,25000,13.22,0.48,N,2,0.230769231,0.023333333,0.428571429,0.5,0.428571429,0.6,-0.235760684,0.16238434,1
26,46000,RENT,2,DEBTCONSOLIDATION,D,25000,11.86,0.54,N,4,0.293478261,0.032,0.285714286,0.5,0.571428571,0.4,-0.189270393,0.157304183,1
22,53000,RENT,5,EDUCATION,C,25000,13.43,0.47,Y,4,0.221698113,0.062,0.642857143,0,0.928571429,0.9,0.244795687,0.225383043,1
26,47000,RENT,0,HOMEIMPROVEMENT,D,25000,15.28,0.53,Y,2,0.281914894,0.013333333,0.357142857,0,1,0.5,-0.133970956,0.211046496,1
23,47000,RENT,1,VENTURE,E,25000,17.93,0.53,N,2,0.281914894,0.023333333,0.571428571,0.5,0.714285714,0.8,0.280637622,0.186305271,1
23,13200,MORTGAGE,2,EDUCATION,B,1400,9.25,0.11,N,4,0.011666667,0.032,0.036,1,0.285714286,0.9,-0.150387302,0.236739699,0
21,13200,OWN,0,VENTURE,C,4500,12.98,0.34,N,4,0.115909091,0.012,0.102857143,1,0.428571429,0.8,-0.171251948,0.222946941,1
22,210000,MORTGAGE,6,VENTURE,B,16000,10.62,0.08,N,4,0.006095238,0.072,0.365714286,0.5,0.285714286,0.8,-0.199492063,0.187372265,0
26,210000,OWN,10,PERSONAL,B,22000,11.83,0.1,N,4,0.01047619,0.112,0.377142857,0.5,0.285714286,0.6,-0.198374603,0.16763114,0
26,48000,RENT,5,VENTURE,F,25000,18.43,0.52,N,2,0.270833333,0.063333333,0.571428571,0.5,0.857142857,0.8,0.276920635,0.191506608,1
22,54996,RENT,6,EDUCATION,B,25000,12,0.45,N,4,0.204560332,0.072,0.642857143,0.5,0.285714286,0.9,0.33432085,0.192057317,1
24,55000,RENT,4,HOMEIMPROVEMENT,D,25000,12,0.45,Y,4,0.204545455,0.052,0.357142857,0,1,0.5,-0.123650216,0.210429411,1
23,55000,RENT,4,EDUCATION,B,25000,11.36,0.45,N,3,0.204545455,0.0525,0.642857143,0.5,0.285714286,0.9,0.329116883,0.193459247,1
23,55000,RENT,4,EDUCATION,D,25000,15.65,0.45,Y,3,0.204545455,0.0525,0.642857143,0,1,0.9,0.231974026,0.231541338,1
24,55164,RENT,8,PERSONAL,C,25000,13.22,0.45,Y,4,0.20393735,0.092,0.428571429,0,0.928571429,0.6,-0.166916627,0.204777857,1
26,56000,RENT,4,DEBTCONSOLIDATION,C,25000,12.87,0.45,N,2,0.200892857,0.053333333,0.285714286,0.5,0.428571429,0.4,-0.181698413,0.149589746,1
24,203500,OWN,8,MEDICAL,C,20000,13.04,0.1,N,3,0.00982801,0.0925,0.571428571,0.5,0.428571429,1,0.265382707,0.207345663,0
23,190000,MORTGAGE,5,EDUCATION,F,22000,17.58,0.12,Y,3,0.013894737,0.0625,0.565714286,0,1,0.9,0.163229073,0.237939916,1
23,13920,OWN,2,PERSONAL,E,7750,17.04,0.56,N,4,0.311781609,0.032,0.132857143,1,0.714285714,0.6,-0.19796081,0.211273472,1
24,60000,RENT,0,PERSONAL,B,25000,10.99,0.42,N,3,0.175,0.0125,0.428571429,0.5,0.285714286,0.6,-0.229428571,0.16548385,1
24,60000,RENT,2,PERSONAL,B,25000,11.11,0.42,N,3,0.175,0.0325,0.428571429,0.5,0.285714286,0.6,-0.234761905,0.163741041,1
26,54000,RENT,7,DEBTCONSOLIDATION,D,25000,14.83,0.46,Y,2,0.212962963,0.083333333,0.285714286,0,1,0.4,-0.107202822,0.207264383,1
23,14000,OWN,2,DEBTCONSOLIDATION,D,4000,12,0.29,N,3,0.082857143,0.0325,0.045714286,1,0.571428571,0.4,-0.109238095,0.215304322,1
24,200000,RENT,8,MEDICAL,B,12000,12.69,0.06,N,2,0.0036,0.093333333,0.342857143,0.5,0.285714286,1,-0.214420317,0.206694541,0
24,200000,MORTGAGE,8,HOMEIMPROVEMENT,C,12000,13.49,0.06,N,2,0.0036,0.093333333,0.171428571,0.5,0.428571429,0.5,-0.11727746,0.165980202,0
21,200000,MORTGAGE,5,EDUCATION,C,16000,14.65,0.08,N,4,0.0064,0.062,0.411428571,0.5,0.428571429,0.9,-0.205668571,0.197554305,0
25,54000,RENT,3,HOMEIMPROVEMENT,E,25000,16.82,0.46,N,4,0.212962963,0.042,0.357142857,0.5,0.714285714,0.5,-0.186085362,0.171354111,1
23,60000,RENT,3,PERSONAL,C,25000,12.73,0.42,N,3,0.175,0.0425,0.428571429,0.5,0.428571429,0.6,-0.226,0.16315689,1
